vp_vs,po,r_th,p_tot
0.05,0.4,0.132016467,19424.14238
0.05,0.42,0.133157442,16124.67445
0.05,0.47,0.135795422,10404.21008
0.05,0.52,0.140454559,7031.372918
0.05,0.57,0.146383846,4926.717616
0.05,0.67,0.160885029,2673.779895
0.05,0.77,0.190553468,1711.922629
0.15,0.4,0.146391162,7813.433026
0.15,0.42,0.14880081,6573.615603
0.15,0.47,0.154330696,4436.765601
0.15,0.52,0.163967934,3196.448369
0.15,0.57,0.176044356,2431.797866
0.15,0.67,0.204832511,1624.144118
0.15,0.77,0.262226788,1274.688077
0.3,0.4,0.153070764,5377.485571
0.3,0.42,0.156709978,4602.22216
0.3,0.47,0.165050893,3271.368247
0.3,0.52,0.179553125,2492.966895
0.3,0.57,0.197673692,2012.637211
0.3,0.67,0.240699682,1511.737502
0.3,0.77,0.32566138,1292.1996
0.5,0.4,0.150162997,4464.523546
0.5,0.42,0.15500785,3907.673893
0.5,0.47,0.166152145,2957.157114
0.5,0.52,0.185639259,2401.850728
0.5,0.57,0.210150071,2060.142464
0.5,0.67,0.268726259,1702.635403
0.5,0.77,0.38532316,1528.597274
0.7,0.4,0.140961301,4809.260152
0.7,0.42,0.14676406,4328.525469
0.7,0.47,0.160205569,3509.810329
0.7,0.52,0.183983678,3028.758546
0.7,0.57,0.21424517,2732.189536
0.7,0.67,0.287633158,2408.119534
0.7,0.77,0.43539263,2186.935077
0.8,0.4,0.135608115,5657.827076
0.8,0.42,0.14176797,5183.957474
0.8,0.47,0.156113039,4378.577796
0.8,0.52,0.181689314,3902.805682
0.8,0.57,0.214521848,3603.842411
0.8,0.67,0.294892827,3245.207873
0.8,0.77,0.457863008,2903.035572
0.85,0.4,0.135500019,6746.408612
0.85,0.42,0.141909805,6264.657312
0.85,0.47,0.156862559,5443.437461
0.85,0.52,0.183605495,4950.980376
0.85,0.57,0.218038007,4633.629366
0.85,0.67,0.302625426,4202.910595
0.85,0.77,0.474492266,3665.722354
0.95,0.4,0.146127601,11795.12386
0.95,0.42,0.153117195,11215.13788
0.95,0.47,0.169423111,10201.24982
0.95,0.52,0.198581085,9543.981195
0.95,0.57,0.236107828,9041.23927
0.95,0.67,0.328134234,8009.048362
0.95,0.77,0.514651197,6244.47211
